measnum,mpdsector,projsym,varname,descrip,units,method,intervention,paneldesc,datatype,sextested,nstrainstested,ageweeks
1619,css,Schulz1,sD_CO,"specific diffusing capacity: carbon monoxide to alveolar volume",&micro;mol/min/hPa/mL,ventilator,,inbred,,both,7,12-14wks
1620,css,Schulz1,ratio_FRC_TLC,"functional residual capacity to total lung capacity",&micro;L/&micro;L,ventilator,,inbred,,both,7,12-14wks
1622,css,Schulz1,ratio_TLC_bw,"total lung capacity to body weight",&micro;L/g,ventilator,,inbred,,both,7,12-14wks
1623,css,Schulz1,ratio_VC_bw,"vital capacity to body weight",L/g,ventilator,,inbred,,both,7,12-14wks
1624,css,Schulz1,ratio_FRC_bw,"functional residual capacity to body weight",&micro;L/g,ventilator,,inbred,,both,7,12-14wks
1626,css,Schulz1,ratio_CL_TLC,"static compliance of lung related to total lung capacity (H<sub>2</sub>O pressure)",1/cm,ventilator,,inbred,,both,7,12-14wks
1627,css,Schulz1,ratio_Cdyn130_TLC,"dynamic compliance of respiratory system (breathing rate 130/min) related to total lung capacity (H<sub>2</sub>O pressure)",1/cm,ventilator,,inbred,,both,7,12-14wks
1630,css,Schulz1,ratio_VDF_TLC,"Fowler dead space volume to total lung capacity",&micro;L/&micro;L,ventilator,,inbred,,both,7,12-14wks
1631,css,Schulz1,ratio_VDF_bw,"Fowler dead space volume to body weight",&micro;L/g,ventilator,,inbred,,both,7,12-14wks
1632,css,Schulz1,VDF,"Fowler dead space volume",&micro;L,ventilator,,inbred,,both,7,12-14wks
1704,css,Hampton1,HR,"heart rate",n/min,ECG,,inbred,,both,17,9-12wks
1705,css,Hampton1,HR_VAR,"heart rate variability",n/min,ECG,,inbred,,both,17,9-12wks
1706,css,Hampton1,RR,"interval between R-waves (RR)",ms,ECG,,inbred,,both,17,9-12wks
1707,css,Hampton1,PQ,"interval between peak of P-wave to Q-wave (PQ)",ms,ECG,,inbred,,both,17,9-12wks
1708,css,Hampton1,PR,"interval between peak of P-wave to R-wave (PR)",ms,ECG,,inbred,,both,17,9-12wks
1709,css,Hampton1,QRS,"interval between beginning and end of QRS complex",ms,ECG,,inbred,,both,17,9-12wks
1801,css,Koide1,LA_LIGHT,"number of beam breaks, light 12h period",n,"home cage monitoring",,"wild-derived Mishima",,f,11,8-13wks
1802,css,Koide1,LA_DARK,"number of beam breaks, dark 12h period",n,"home cage monitoring",,"wild-derived Mishima",,f,11,8-13wks
1803,css,Koide1,LD_DARK,"time in dark box",s,"light-dark box",,"wild-derived Mishima",,f,11,8-13wks
1804,css,Koide1,LD_TRANS,"number of transitions between light and dark compartments",n,"light-dark box",,"wild-derived Mishima",,f,11,8-13wks
1805,css,Koide1,PA_BEFORE,"passive avoidance test: latency to enter box before stimulus",s,"avoidance test",,"wild-derived Mishima",,f,11,8-13wks
1806,css,Koide1,PA_AFTER,"passive avoidance test: latency to enter box after stimulus",s,"avoidance test",,"wild-derived Mishima",,f,11,8-13wks
1807,css,Koide1,PA_LEARNED,"passive avoidance test: learned fear response, latency to enter box next day",s,"avoidance test",,"wild-derived Mishima",,f,11,8-13wks
1808,css,Koide1,TF,"tail flick test: latency to respond",s,"nociception assay",,"wild-derived Mishima",,f,11,8-13wks
1809,css,Koide1,HP_LICK,"hot plate test: latency to respond by licking",s,"nociception assay",,"wild-derived Mishima",,f,11,8-13wks
1810,css,Koide1,HP_JUMP,"hot plate test: latency to respond by jumping",s,"nociception assay",,"wild-derived Mishima",,f,11,8-13wks
1811,css,Koide1,AA_1,"active avoidance test: correct responses, day1",%,"avoidance test",,"wild-derived Mishima",,f,10,8-13wks
1812,css,Koide1,AA_2,"active avoidance test: correct responses, day2",%,"avoidance test",,"wild-derived Mishima",,f,10,8-13wks
1813,css,Koide1,AA_3,"active avoidance test: correct responses, day3",%,"avoidance test",,"wild-derived Mishima",,f,10,8-13wks
1814,css,Koide1,AA_4,"active avoidance test: correct responses, day4",%,"avoidance test",,"wild-derived Mishima",,f,10,8-13wks
1901,css,Albers1,chol_chow,"total cholesterol (plasma CHOL), baseline",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1902,css,Albers1,HDLC_chow,"HDL cholesterol (plasma HDL), baseline",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1903,css,Albers1,nonHDLC_chow,"non-HDL cholesterol (plasma non-HDL), baseline",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1904,css,Albers1,chol_fat,"total cholesterol (plasma CHOL), after 6wks on diet",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1905,css,Albers1,HDLC_fat,"HDL cholesterol (plasma HDL), after 6wks on diet",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1906,css,Albers1,nonHDLC_fat,"non-HDL cholesterol (plasma non-HDL), after 6wks on diet",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1907,css,Albers1,chol_chg,"total cholesterol (plasma CHOL), fold change",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1908,css,Albers1,HDLC_chg,"HDL cholesterol (plasma HDL), fold change",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1909,css,Albers1,nonHDLC_chg,"non-HDL cholesterol (plasma non-HDL), fold change",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1910,css,Albers1,PL_chow,"total phospholipid (plasma), baseline",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1911,css,Albers1,PL_HDL_chow,"HDL phospholipid (plasma), baseline",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1912,css,Albers1,PL_nonHDL_chow,"non-HDL phospholipid (plasma), baseline",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1913,css,Albers1,PLTP_chow,"phospholipid transfer protein activity (plasma), baseline",&micro;mol/mL/h,"protein activity assessment","high-fat diet",inbred,,both,15,6-8wks
1914,css,Albers1,PL_fat,"total phospholipid (plasma), after 6wks on diet",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1915,css,Albers1,PL_HDL_fat,"HDL phospholipid (plasma), after 6wks on diet",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1916,css,Albers1,PL_nonHDL_fat,"non-HDL phospholipid (plasma), after 6wks on diet",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1917,css,Albers1,PL_chg,"total phospholipid (plasma), fold change",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1918,css,Albers1,PL_HDL_chg,"HDL phospholipid (plasma), fold change",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1919,css,Albers1,PL_nonHDL_chg,"non-HDL phospholipid (plasma), fold change",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1920,css,Albers1,PLTP_fat,"phospholipid transfer protein activity (plasma), after 6wks on diet",&micro;mol/mL/h,"protein activity assessment","high-fat diet",inbred,,both,15,6-8wks
1921,css,Albers1,PLTP_chg,"phospholipid transfer protein activity (plasma), fold change",&micro;mol/mL/h,"protein activity assessment","high-fat diet",inbred,,both,15,6-8wks
1922,css,Albers1,largeHDL_chow,"percentage of large HDL particles (10-13 nm) (plasma), baseline",%,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1923,css,Albers1,HDLsize_chow,"HDL peak size (plasma), baseline",nm,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1924,css,Albers1,largeHDL_fat,"percentage of large HDL particles (10-13 nm) (plasma), after 6wks on diet",%,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1925,css,Albers1,HDLsize_fat,"HDL peak size (plasma), after 6wks on diet",nm,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1926,css,Albers1,largeHDL_chg,"percentage of large HDL particles (10-13 nm) (plasma), fold change",%,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1927,css,Albers1,HDLsize_chg,"HDL peak size (plasma), fold change",nm,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1928,css,Albers1,TG_chow,"triglycerides (plasma TG) (4h fast), baseline",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1929,css,Albers1,TG_fat,"triglycerides (plasma TG) (4h fast), after 6wks on diet",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
1930,css,Albers1,TG_chg,"triglycerides (plasma TG) (4h fast), fold change",mmol/L,"lipid profile","high-fat diet",inbred,,both,15,6-8wks
2201,css,Mogil1,HP,"latency of nociceptive response, (53&deg;C) hot plate test",s,"nociception assay",,inbred,,m,11,6-18wks
2202,css,Mogil1,HT,"latency of heated hindpaw withdrawal, Hargreaves test",s,"nociception assay",,inbred,,m,11,6-18wks
2203,css,Mogil1,TW_HOT1,"latency of tail withdrawal, 49&deg;C heat stimulation",s,"nociception assay",,inbred,,m,11,6-18wks
2204,css,Mogil1,VF,"median 50% foot withdrawal threshold, Von Frey test",mN,"nociception assay",,inbred,,m,11,6-18wks
2205,css,Mogil1,AC_AA,"number of abdominal constrictions induced with acetic acid (i.p.), 20 min",n,"nociception assay",,inbred,,m,11,6-18wks
2206,css,Mogil1,AC_MS,"number of abdominal constrictions induced with magnesium sulfate (i.p.), 5 min",n,"nociception assay",,inbred,,m,11,6-18wks
2207,css,Mogil1,CAR_HT,"percent hypersensitivity threshold to carrageenan-induced thermal hyperalgesia, treated and heated hindpaw withdrawal",%,"nociception assay",,inbred,,m,11,6-18wks
2208,css,Mogil1,F_early," duration of nociceptive response to acute inflammation (early phase), 0-10 min post-formalin (s.q.) injection",s,"nociception assay",,inbred,,m,11,6-18wks
2209,css,Mogil1,F_late,"duration of nociceptive response to subacute/chronic inflammation (late phase), 10-60 min post-formalin (s.q.) injection",s,"nociception assay",,inbred,,m,11,6-18wks
2210,css,Mogil1,AUT,"autotomy (neuropathy) score (1-11) following hindlimb denervation",score,"nociception assay",,inbred,,m,11,6-18wks
2211,css,Mogil1,PNI_HT,"percent hypersensitivity threshold to Hargreaves test following peripheral nerve injury (PNI)",%,"nociception assay",,inbred,,m,11,6-18wks
2212,css,Mogil1,PNI_VF,"median 50% foot withdrawal hypersensitivity threshold to von Frey test following peripheral nerve injury (PNI)",mN,"nociception assay",,inbred,,m,11,6-18wks
2220,css,Mogil1,CAP,"duration of nociceptive response to capsaicin",s,"nociception assay",,inbred,,m,12,6-18wks
2221,css,Mogil1,BV,"duration of nociceptive response to bee venom",s,"nociception assay",,inbred,,m,12,6-18wks
2222,css,Mogil1,TF,"latency of nociception to heated tail following hindleg acupuncture needles stimulation (analgesia), tail flick test",s,"nociception assay",,inbred,,m,10,6-18wks
2223,css,Mogil1,TW_HOT2,"latency of tail withdrawal, 47&deg;C heat stimulation",s,"nociception assay",,inbred,,m,12,6-18wks
2224,css,Mogil1,TW_COLD,"latency of tail withdrawal, -15&deg;C cold stimulation",s,"nociception assay",,inbred,,m,12,6-18wks
2225,css,Mogil1,CAP_TW,"percent hypersensitivity threshold to capsaicin-induced thermal hyperalgesia, tail withdrawal at 47&deg;C",%,"nociception assay",,inbred,,m,12,6-18wks
2226,css,Mogil1,BV_HT,"percent hypersensitivity threshold to bee venom-induced thermal hyperalgesia (ipsilateral), treated and heated hindpaw withdrawal",%,"nociception assay",,inbred,,m,12,6-18wks
2227,css,Mogil1,BV_HT_CON,"percent hypersensitivity threshold to bee venom-induced thermal hyperalgesia (contralateral), untreated and heated hindpaw withdrawal",%,"nociception assay",,inbred,,m,12,6-18wks
2228,css,Mogil1,TC,"latency of nociception to pinched tail",s,"nociception assay",,inbred,,m,12,6-18wks
2229,css,Mogil1,DYN_VF,"percent hypersensitivity threshold to mechanical stimulation following dynorphin treatment, von Frey test",%,"nociception assay",,inbred,,m,7,6-18wks
2804,css,Paigen3,age,"age at start of diet (local parameter)",d,"colony observation",,"obesity mutants",,both,7,
2805,css,Paigen3,initbw,"body weight, start",g,"body weight","high-fat diet","obesity mutants",,both,8,7-11wks
2806,css,Paigen3,finalbw,"body weight, after 8wks on diet",g,"body weight","high-fat diet","obesity mutants",,both,8,7-11wks
2807,css,Paigen3,liverweight,"liver weight at sacrifice",g,"organ weights","high-fat diet","obesity mutants",,both,8,15-19wks
2808,css,Paigen3,gbvol,"gallbladder volume",&micro;L,"organ dimensions","high-fat diet","obesity mutants",,both,8,15-19wks
2809,css,Paigen3,mucin,"gallbladder, mucin (score: 0-4)",score,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2810,css,Paigen3,arc,"gallbladder, arc (score: 0-4)",score,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2811,css,Paigen3,filaments,"gallbladder, filaments (score: 0-4)",score,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2812,css,Paigen3,smallLC,"gallbladder, small liquid crystals (score: 0-4)",score,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2813,css,Paigen3,agLC,"gallbladder, aggregated liquid crystals (score: 0-4)",score,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2814,css,Paigen3,fusedLC,"gallbladder, fused liquid crystals (score: 0-4)",score,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2815,css,Paigen3,ChMC,"gallbladder, cholesterol monohydrate crystals (score: 0-4)",score,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2816,css,Paigen3,sandysto,"gallbladder, number of sandy stones",n,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2817,css,Paigen3,gs,"gallbladder, number of true gallstones",n,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2818,css,Paigen3,nstones,"gallbladder, number of sandy plus true stones",n,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2819,css,Paigen3,st_pres,"gallbladder, presence of stones (score: 1=present, 0=absent)",score,histopathology,"high-fat diet","obesity mutants",,both,8,15-19wks
2820,css,Paigen3,totalCh,"total cholesterol (plasma)",mg/dL,"lipid profile","high-fat diet","obesity mutants",,both,8,15-19wks
2821,css,Paigen3,HDL_Ch,"HDL cholesterol (plasma)",mg/dL,"lipid profile","high-fat diet","obesity mutants",,both,8,15-19wks
2822,css,Paigen3,nonHDL_Ch,"plasma cholesterol not in the HDL fraction",mg/dL,"lipid profile","high-fat diet","obesity mutants",,both,8,15-19wks
2823,css,Paigen3,pctHDL_TCH,"percentage of total plasma cholesterol in HDL fraction",%,"lipid profile","high-fat diet","obesity mutants",,both,8,15-19wks
2824,css,Paigen3,ALT,"alanine transaminase (plasma ALT)",IU/L,"metabolic panel","high-fat diet","obesity mutants",,both,8,15-19wks
2825,css,Paigen3,bilesalts,"bile salts (plasma)",&micro;mol/L,"metabolic panel","high-fat diet","obesity mutants",,both,8,15-19wks
2826,css,Paigen3,freeHCC,"hepatic cholesterol concentration (free per g liver)",mg,"lipid profile","high-fat diet","obesity mutants",,both,8,15-19wks
2827,css,Paigen3,estHCC,"hepatic cholesterol concentration (esterified per g liver)",mg,"lipid profile","high-fat diet","obesity mutants",,both,8,15-19wks
2828,css,Paigen3,totHCC,"hepatic cholesterol concentration (total per g liver)",mg,"lipid profile","high-fat diet","obesity mutants",,both,8,15-19wks
2829,css,Paigen3,free_to_est,"hepatic cholesterol concentration (free to esterified ratio)",ratio,"lipid profile","high-fat diet","obesity mutants",,both,8,15-19wks
2830,css,Paigen3,microvacs,"liver microvacuoles (score: 0-4)",score,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2831,css,Paigen3,macrovacs,"liver macrovacuoles (score: 0-4)",score,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2832,css,Paigen3,inflammation,"liver inflammation (score: 0-4)",score,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2833,css,Paigen3,bw_chg,"body weight, fold change",g,"body weight","high-fat diet","obesity mutants",,both,8,7-11wks
2836,css,Paigen3,aortic_lesion,"fatty streak aortic lesion size",&micro;m<sup>2</sup>,histopathology,"high-fat diet","obesity mutants",,both,7,15-19wks
2904,css,Paigen1,age,"age at start of diet (local parameter)",d,"colony observation",,inbred,,both,41,
2905,css,Paigen1,initbw,"body weight, start",g,"body weight","high-fat diet",inbred,,both,38,7-11wks
2906,css,Paigen1,finalbw,"body weight, after 8wks on diet",g,"body weight","high-fat diet",inbred,,both,43,7-11wks
2907,css,Paigen1,liverweight,"liver weight at sacrifice",g,"organ weights","high-fat diet",inbred,,both,43,15-19wks
2908,css,Paigen1,gbvol,"gallbladder volume",&micro;L,"organ dimensions","high-fat diet",inbred,,both,43,15-19wks
2909,css,Paigen1,mucin,"gallbladder, mucin (score: 0-4)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2910,css,Paigen1,arc,"gallbladder, arc (score: 0-4)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2911,css,Paigen1,filaments,"gallbladder, filaments (score: 0-4)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2912,css,Paigen1,smallLC,"gallbladder, small liquid crystals (score: 0-4)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2913,css,Paigen1,agLC,"gallbladder, aggregated liquid crystals (score: 0-4)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2914,css,Paigen1,fusedLC,"gallbladder, fused liquid crystals (score: 0-4)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2915,css,Paigen1,ChMC,"gallbladder, cholesterol monohydrate crystals (score: 0-4)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2916,css,Paigen1,sandysto,"gallbladder, number of sandy stones",n,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2917,css,Paigen1,gs,"gallbladder, number of true gallstones",n,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2918,css,Paigen1,nstones,"gallbladder, number of sandy plus true stones",n,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2919,css,Paigen1,st_pres,"gallbladder, presence of stones (score: 1=present, 0=absent)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2920,css,Paigen1,totalCh,"total cholesterol (plasma)",mg/dL,"lipid profile","high-fat diet",inbred,,both,43,15-19wks
2921,css,Paigen1,HDL_Ch,"HDL cholesterol (plasma)",mg/dL,"lipid profile","high-fat diet",inbred,,both,43,15-19wks
2922,css,Paigen1,nonHDL_Ch,"plasma cholesterol not in the HDL fraction",mg/dL,"lipid profile","high-fat diet",inbred,,both,43,15-19wks
2923,css,Paigen1,pctHDL_TCH,"percentage of total plasma cholesterol in HDL fraction",%,"lipid profile","high-fat diet",inbred,,both,43,15-19wks
2924,css,Paigen1,ALT,"alanine transaminase (plasma ALT)",IU/L,"metabolic panel","high-fat diet",inbred,,both,43,15-19wks
2925,css,Paigen1,bilesalts,"bile salts (plasma)",&micro;mol/L,"metabolic panel","high-fat diet",inbred,,both,43,15-19wks
2926,css,Paigen1,freeHCC,"hepatic cholesterol concentration (free per g liver)",mg,"lipid profile","high-fat diet",inbred,,both,43,15-19wks
2927,css,Paigen1,estHCC,"hepatic cholesterol concentration (esterified per g liver)",mg,"lipid profile","high-fat diet",inbred,,both,43,15-19wks
2928,css,Paigen1,totHCC,"hepatic cholesterol concentration (total per g liver)",mg,"lipid profile","high-fat diet",inbred,,both,43,15-19wks
2929,css,Paigen1,free_to_est,"hepatic cholesterol concentration (free to esterified ratio)",ratio,"lipid profile","high-fat diet",inbred,,both,43,15-19wks
2930,css,Paigen1,microvacs,"liver microvacuoles (score: 0-4)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2931,css,Paigen1,macrovacs,"liver macrovacuoles (score: 0-4)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2932,css,Paigen1,inflammation,"liver inflammation (score: 0-4)",score,histopathology,"high-fat diet",inbred,,both,43,15-19wks
2933,css,Paigen1,bw_chg,"body weight, fold change",g,"body weight","high-fat diet",inbred,,both,38,7-11wks
2936,css,Paigen1,aortic_lesion,"fatty streak aortic lesion size",&micro;m<sup>2</sup>,histopathology,"high-fat diet",inbred,,both,44,15-19wks
3404,css,Mogil2,act_on,"amount of activity, number of beam breaks, light 4h period",n,"monitoring system",,inbred,,m,8,6-10wks
3405,css,Mogil2,act_off,"amount of activity, number of beam breaks, dark 4h period",n,"monitoring system",,inbred,,m,12,6-10wks
3406,css,Mogil2,act_saloff,"amount of activity, number of beam breaks, with saline injection, dark 4h period",n,"monitoring system",,inbred,,m,12,6-10wks
3604,css,Jax1,bw3,"body weight, at age 3 wks",g,"body weight",,inbred,,both,20,3wks
3605,css,Jax1,bw4,"body weight, at age 4 wks",g,"body weight",,inbred,,both,24,3wks
3606,css,Jax1,bw5,"body weight, at age 5 wks",g,"body weight",,inbred,,both,24,3wks
3607,css,Jax1,bw6,"body weight, at age 6 wks",g,"body weight",,inbred,,both,24,3wks
3608,css,Jax1,bw7,"body weight, at age 7 wks",g,"body weight",,inbred,,both,24,3wks
3609,css,Jax1,bw8,"body weight, at age 8 wks",g,"body weight",,inbred,,both,24,3wks
3610,css,Jax1,bw9,"body weight, at age 9 wks",g,"body weight",,inbred,,both,24,3wks
3611,css,Jax1,bw10,"body weight, at age 10 wks",g,"body weight",,inbred,,both,4,3wks
5601,css,Frankel1,E_MC_BH_FS,"median critical current (CC<sub>50</sub>) for minimal clonic seizure, frontal stimulation (at BH)",mA,"electroconvulsion test",,inbred,,m,4,6-11wks
5602,css,Frankel1,E_MC_BH_TC,"median critical current (CC<sub>50</sub>), transcorneal stimulation (at BH)",mA,"electroconvulsion test",,inbred,,both,16,6-11wks
5603,css,Frankel1,E_MC_SL_TC,"median critical current (CC<sub>50</sub>), transcorneal stimulation (at SL)",mA,"electroconvulsion test",,inbred,,both,7,6-11wks
5604,css,Frankel1,E_MT_BH_FS,"median critical current (CC<sub>50</sub>) for maximal tonic hindlimb extension seizure, frontal stimulation (at BH)",mA,"electroconvulsion test",,inbred,,m,4,6-11wks
5605,css,Frankel1,E_MT_BH_TC,"median critical current (CC<sub>50</sub>) for maximal tonic hindlimb extension seizure, transcorneal stimulation (at BH)",mA,"electroconvulsion test",,inbred,,both,16,6-11wks
5606,css,Frankel1,E_MT_SL_TC,"median critical current (CC<sub>50</sub>) for maximal tonic hindlimb extension seizure, transcorneal stimulation (at SL)",mA,"electroconvulsion test",,inbred,,both,7,6-11wks
5607,css,Frankel1,E_PS_BH_FS,"median critical current (CC<sub>50</sub>) for psychomotor seizure, frontal stimulation (at BH)",mA,"electroconvulsion test",,inbred,,m,4,6-11wks
5608,css,Frankel1,E_PS_BH_TC,"median critical current (CC<sub>50</sub>) for psychomotor seizure, transcorneal stimulation (at BH)",mA,"electroconvulsion test",,inbred,,both,14,6-11wks
5609,css,Frankel1,E_PS_SL_TC,"median critical current (CC<sub>50</sub>) for psychomotor seizure, transcorneal stimulation (at SL)",mA,"electroconvulsion test",,inbred,,both,7,6-11wks
5610,css,Frankel1,L_MC_BH_TC,"median effective dose (ED<sub>50</sub>) against minimal clonic seizures (CC<sub>97</sub>), transcorneal stimulation (at BH)",mg/kg,"electroconvulsion test",lamotrigine,inbred,,m,3,6-11wks
5612,css,Frankel1,L_MC_SL_TC,"median effective dose (ED<sub>50</sub>) against minimal clonic seizures (CC<sub>97</sub>), transcorneal stimulation (at SL)",mg/kg,"electroconvulsion test",lamotrigine,inbred,,m,3,6-11wks
5613,css,Frankel1,L_MT_BH_TC,"median effective dose (ED<sub>50</sub>) against maximal tonic hindlimb extension seizure (CC<sub>97</sub>), transcorneal stimulation (at BH)",mg/kg,"electroconvulsion test",lamotrigine,inbred,,m,3,6-11wks
5614,css,Frankel1,L_MT_SL_TC,"median effective dose (ED<sub>50</sub>) against maximal tonic hindlimb extension seizure (CC<sub>97</sub>), transcorneal stimulation (at SL)",mg/kg,"electroconvulsion test",lamotrigine,inbred,,m,3,6-11wks
6004,css,Hunter1,tum_lat,"mammary tumor latency, days after birth",d,histopathology,,"MMTV PyVT transgenic",,f,28,
6005,css,Hunter1,tum_burd,"tumor burden (body weight at sacrifice minus body weight at diagnosis of primary tumor)",g,histopathology,,"MMTV PyVT transgenic",,f,28,
